source,target,timestamp,value,valueDoll
95998696,25538770,1391465170,16.35849,13854.00518
238735,149338472,1391465170,127.8116765,108243.7089
238735,9157177,1391465170,28.78129511,24374.87883
110741697,60347268,1391465170,142.7956773,120933.6591
238735,101609338,1391465170,48.17984079,40803.50717
44145658,137019590,1391465170,190.4905013,161326.4055
109887346,39343325,1391465170,28.10181929,23799.43076
154441353,66759083,1391465170,76.11713019,64463.59756
88033169,97037344,1391465170,74.299,62923.8231
88033169,44358691,1391465170,21.45515463,18170.37046
66176309,19180439,1391465170,210.4907013,178264.5749
26951598,158648823,1391465170,113.0051011,95704.02011
79025006,scammer810,1391465170,18.9995,16090.67655
34630772,97301,1391465170,99.999,84689.1531
114927784,66176309,1391465170,220.4908013,186733.6596
19180439,44145658,1391465170,200.4906013,169795.4902
9162884,103129463,1391465170,16.20371946,13722.93001
46305868,129461837,1391465170,19.20297874,16263.00269
66060445,98837355,1391465170,17.78212576,15059.68231
25969808,9236231,1391465170,16.49584959,13970.33502
24141880,76373841,1391465170,61.22652662,51852.74539
LocalBitcoins.com-old,71517200,1391465170,15.29064779,12949.64961
10825508,10825508,1391465170,23.03466711,19508.05958
73275545,28208668,1391465170,16.6414433,14093.63833
67862802,99415637,1391465170,138.2243316,117062.1864
Bitstamp.net-old,55332940,1391465170,26.04,22053.276
59302909,133038079,1391465170,16.16481667,13689.98324
137885600,scammer810,1391465170,67.9995,57588.77655
137885600,109402310,1391465170,31.25394082,26468.96248
15902410,66866033,1391465170,16.64918188,14100.19213
50658979,103129463,1391465170,53.07727279,44951.14233
86009427,46515012,1391465170,86.76423269,73480.62867
89090806,101754936,1391465170,24.47001211,20723.65326
55611003,22519284,1391465170,27.15326492,22996.10006
133467108,16411264,1391465170,142.9256956,121043.7716
150271029,135457920,1391465170,154.3411001,130711.4776
87880722,554474,1391465170,153.1849148,129732.3043
3174877,1398875,1391465170,20.71650852,17544.81107
30394757,17885900,1391465170,24.7371245,20949.87074
97126176,56573076,1391465170,70.55523231,59753.22624
171351823,BTCGuild.com,1391465170,25.12816777,21281.04528
19762186,150116206,1391465170,142.8873069,121011.2602
55689354,mtgox,1391466619,93.30794692,79022.50025
55689354,101003322,1391466619,66.68005308,56471.33695
BTC-e.com-old,238735,1391466619,40.08508895,33948.06183
BTC-e.com-old,238735,1391466619,70.03487094,59312.5322
94607034,BitZino.com,1391466619,16,13550.4
1659074,1659074,1391466619,159.8599,135385.3493
BTC-e.com-old,238735,1391466619,47.53551398,40257.82679
97037344,115801174,1391466619,74.299,62923.8231
113410454,86071331,1391466619,170.4903013,144388.2362
46838138,43985120,1391466619,16.83563426,14258.09865
61896917,7286414,1391466619,17.43505834,14765.75091
171351823,BitMinter.com,1391466619,25.15001966,21299.55165
81224,81224,1391466619,19.9793,16920.46917
92368424,136051117,1391466619,15.7625663,13349.3174
21963554,1384803,1391466619,30,25407
25643124,60312945,1391466619,20.039,16971.0291
13198262,13198262,1391466619,108.1955442,91630.80637
76909943,10331918,1391466619,33.08121606,28016.48188
147684654,143186947,1391466619,100,84690
162512297,162512297,1391466619,87.1695,73823.84955
15019179,62054888,1391466619,27.38276306,23190.46204
14637603,90412270,1391466619,17.15825012,14531.32203
86071331,164564436,1391466619,160.4902013,135919.1515
162979197,97139262,1391466619,172.2241388,145856.6232
BTC-e.com-old,238735,1391466619,71.53386923,60582.03385
137019590,113410454,1391466619,180.4904013,152857.3208
LocalBitcoins.com-old,150218680,1391466619,54.1614,45869.28966
13198262,13198262,1391466619,95.69504418,81044.13292
ePay.info,1674131,1391466619,33.63,28481.247
ePay.info,ePay.info,1391466619,20.885,17687.5065
144962315,98120430,1391466619,17.137632,14513.86054
48061545,2204378,1391466619,17.50673545,14826.45425
9094293,26490167,1391466619,27.2494001,23077.51694
86250837,14473340,1391466619,206.4885766,174875.1755
112096157,31210604,1391466619,17.42105958,14753.89536
13198262,13198262,1391466619,133.1965442,112804.1533
135457920,112999348,1391466619,150.7195799,127644.4122
48797902,48797902,1391466619,46.74146301,39585.34502
93921797,96152315,1391466619,15.24709974,12912.76877
1674131,ePay.info,1391466619,33.63,28481.247
47065976,156027446,1391466619,130.4899013,110511.8974
109907805,47065976,1391466619,140.4900013,118980.9821
60347268,40417172,1391466619,135.723881,114944.5548
44387022,159328217,1391466619,79.63415127,67442.16271
70376766,89472225,1391466619,65.06831765,55106.35822
149338472,13333246,1391466619,124.9005747,105778.2967
99415637,164156895,1391466619,137.4034545,116366.9856
117545277,15004082,1391466619,159.9513206,135462.7734
21492304,18155524,1391466619,15.29493532,12953.28072
7513745,16079388,1391466619,25.3975001,21509.14283
1674131,ePay.info,1391466619,33.63,28481.247
101609338,131789048,1391466619,44.7083083,37863.4663
13198262,13198262,1391466619,120.6960442,102217.4798
39294407,81491143,1391466619,190.5273092,161357.5782
168336318,86921615,1391466619,110.4897013,93573.72801
158648823,1621521,1391466619,109.9307135,93100.3213
87600843,50524406,1391466619,711.7706442,602798.5585
13198262,13198262,1391466619,74.29404418,62919.62602
138371285,167792063,1391466619,18.8478591,15962.25187
13198262,13198262,1391466619,84.99454418,71981.87947
136911610,55950230,1391466619,16.44100002,13923.88292
116199535,106778412,1391466619,158.8885149,134562.6833
62132519,62132519,1391466619,15.76152115,13348.43226
20654185,16118373,1391466619,24.86613322,21059.12822
164564436,109907805,1391466619,150.4901013,127450.0668
554474,60187992,1391466619,148.189019,125501.2802
40319759,29752859,1391466619,395.0939644,334605.0784
6969882,6969882,1391466619,15.26881666,12931.16083
129461837,75108927,1391466619,19.19287874,16254.449
